date,martin17_EP,M1_rn,M2_rn,M3_rn,M4_rn,cluster
2024-04-29,0.03126949334728675,-0.013408065979681916,0.03126949334728675,-0.18797747981097668,5.4834471284608615,1
2024-05-01,0.04487270036952129,-0.02065382852006352,0.04487270036952129,-0.47685836270195614,5.027539288841016,0
2024-05-02,0.03966645111099236,-0.018380411761458174,0.03966645111099236,-0.2596183014832989,5.141386813367639,1
2024-05-03,0.03374415439840974,-0.011863741859888692,0.03374415439840974,-0.10867367425248387,5.305153723873671,1
2024-05-04,0.03595783570503963,-0.009392571179710416,0.03595783570503963,0.18120264329369795,5.041404798909361,1
2024-05-05,0.0373724316088421,-0.010587510830824737,0.0373724316088421,0.1674338490253298,4.964586880424629,1
2024-05-06,0.03717117351526061,-0.009088958374397466,0.03717117351526061,0.18140936823922815,5.110498442026413,1
2024-05-07,0.03368677726512898,-0.007582121365489955,0.03368677726512898,0.20567856183130873,5.213462883668072,1
2024-05-08,0.0320280580032888,-0.0073310131442852755,0.0320280580032888,0.0697326240181057,5.187535215354996,1
2024-05-09,0.032515850721830275,-0.007682498302541807,0.032515850721830275,0.10365442766203427,5.223281321211594,1
2024-05-13,0.03230983734952421,-0.006807879505100693,0.03230983734952421,0.35677873697840556,5.3295735908915,1
2024-05-14,0.0319277656570737,-0.0086312159248833,0.0319277656570737,0.26516145160568266,5.266338124258876,1
2024-05-15,0.03291254641621158,-0.008409720283860708,0.03291254641621158,0.2920198742126204,5.467473501872223,1
2024-05-16,0.026056624361757704,-0.010405727358521417,0.026056624361757704,0.1224312262652116,5.309765168323825,1
2024-05-17,0.02635199369073135,-0.008497143497255527,0.02635199369073135,0.2942144303845819,5.378067210047855,1
2024-05-18,0.027461397742497937,-0.008259755834150832,0.027461397742497937,0.4433002729938927,5.570263821270022,1
2024-05-19,0.03164874327589908,-0.001776358587773745,0.03164874327589908,0.6694551798080491,5.679544695562654,1
2024-05-20,0.04305000067705165,-0.004597015791658998,0.04305000067705165,0.8634721121301419,5.213534131532639,0
2024-05-21,0.0475008976308208,-0.0035012411117878173,0.0475008976308208,0.5205189593460148,4.213585006190341,0
2024-05-22,0.05101973238968133,-0.0028711725779504704,0.05101973238968133,0.38478649912708746,4.079650340919629,0
2024-05-23,0.04689492900592496,0.0008542326144753698,0.04689492900592496,0.6206056063376798,4.430295656640227,0
