Returns,Q_mean,P_NB6,P_NB7,P_NB8,P_NB9,P_NB10,P_NB11,P_NB12,P_NB13,P_NB14,P_NB15
-0.6099999999999997,0.010330037512150649,3.133207434801647e-08,6.298412072549577e-06,0.00021067636392644969,5.270587337885628e-05,4.926700203181264e-07,4.8264383280691325e-06,0.00011520832428413204,0.008648339721444147,1.1728343670734161e-05,2.8485769593587946e-05
-0.5999999999999996,0.011389803327343642,5.8493766164342906e-08,9.132782497776332e-06,0.0002664140217208279,7.026627111788344e-05,7.999658055830702e-07,7.077820297218095e-06,0.00014838548941415708,0.009182053039840755,1.6547726264143462e-05,3.890038834207345e-05
-0.5899999999999996,0.012529447391893038,1.0705458281397396e-07,1.3148632392421312e-05,0.00033593908665129513,9.327699128594464e-05,1.2833659368804132e-06,1.0301206192085126e-05,0.00019050858397273748,0.00975787216333119,2.320506238032967e-05,5.285624962634945e-05
-0.5799999999999996,0.013756248878576172,1.9231273414208027e-07,1.88009557523103e-05,0.0004224310261806103,0.00012330947688813436,2.035389649567971e-06,1.4883998964771367e-05,0.00024383025935097757,0.010379864597675096,3.234913857760991e-05,7.147011965689776e-05
-0.5699999999999996,0.01507251617348888,3.3947050808991186e-07,2.6706141213330076e-05,0.0005297505779626851,0.0001623547066276479,3.1929982990258087e-06,2.135571687476747e-05,0.0003111312992074435,0.011052565045157873,4.484007048544317e-05,9.618436908904709e-05
-0.5599999999999996,0.016486975243562407,5.89425924044674e-07,3.769452129288314e-05,0.0006625748586567592,0.00021292652502122466,4.957053320020901e-06,3.0435812889292048e-05,0.0003958355065045906,0.011781037862561348,6.181259781373323e-05,0.0001288544231303398
-0.5499999999999996,0.01799138642566833,1.0076138185402415e-06,5.287856317994511e-05,0.0008265571530981277,0.00027818834935798066,7.619510358655193e-06,4.3096193750307893e-05,0.0005021476840371607,0.012570949081360572,8.47567391856128e-05,0.00017185775582445145
-0.5399999999999996,0.019601792561386947,1.6973363358659155e-06,7.374093709043372e-05,0.0010285155086604504,0.0003621080855366965,1.1601130334097652e-05,6.064254732473689e-05,0.0006352189751727752,0.013428649645505311,0.00011562014563803618,0.00022822927232829196
-0.5299999999999996,0.021328929500630034,2.819629687099436e-06,0.00010224773596634594,0.0012766548830536564,0.00046964699077864673,1.7503387088213023e-05,8.481962508927335e-05,0.000801344550290725,0.014361271842872626,0.00015693747398046862,0.00030182891040446056
-0.5199999999999996,0.0231660097514757,4.62254787148948e-06,0.00014099338634829587,0.0015808283000464413,0.0006069892793670537,2.617940983009256e-05,0.00011794690032788067,0.001008199451794362,0.015376841296170781,0.00021199328341180447,0.0003975484604684877
-0.5099999999999996,0.025137865045873547,7.483879564611867e-06,0.00019338532918831755,0.001952843265441377,0.000781820500146959,3.883028325859152e-05,0.00016309257928557932,0.0012651193606392007,0.016484407354072503,0.00028502637692572025,0.0005215659814615706
-0.4999999999999995,0.027228222910236778,1.1972847787749145e-05,0.0002638784133489836,0.0024068205941469066,0.0010036641462952192,5.713492045018121e-05,0.0002242958378940215,0.0015834341353733513,0.01769419530424432,0.00038148520472278884,0.0006816578105383085
-0.4899999999999995,0.02946595439481413,1.8938396300160447e-05,0.00035827119429835156,0.002959613807570655,0.001284287616196955,8.342412253393868e-05,0.00030684945604142597,0.001976863217218222,0.019017784542737733,0.0005083459679614264,0.0008875800652032862
-0.4799999999999995,0.031853358349816834,2.9634398148725325e-05,0.00048407903647502054,0.003631298387757522,0.0016381905590598352,0.00012091246517518094,0.0004176578007748323,0.0024619834092192375,0.020468317711950255,0.0006745074624651453,0.0011515337586270595
-0.4699999999999995,0.03439898739747662,4.589572767957007e-05,0.0006510021611695522,0.0044457414289474015,0.0020831908424458066,0.00017400545024461356,0.0005656884575081557,0.0030587811421487533,0.022060746904144838,0.0008912795456920634,0.0014887302384359534
-0.4599999999999995,0.03711360560114793,7.03838649770234e-05,0.0008715106556206532,0.0054312636153424,0.0026411259054250212,0.0002487041063505519,0.0007625398259681236,0.003791303152999666,0.023812124373208322,0.0011729854665804991,0.0019180766666959427
