Returns,EP_NB6,EP_NB7,EP_NB8,EP_NB9,EP_NB10,EP_NB11,EP_NB12,EP_NB13,EP_NB14,EP_NB15
-0.5499999999999996,0.07973289084370128,0.057825416977517134,0.05144140741152645,0.06415506165777347,0.08663335750686438,0.06596044737087073,0.058679905911650655,-0.013549824833927521,0.08286747482215688,0.07059663476779547
-0.5399999999999996,0.08592540110504827,0.06221473731914757,0.055086939826904685,0.06884973543888596,0.09332097257088623,0.07098026938468295,0.06287488408962195,-0.010929251792074627,0.08915063552478017,0.07582991988099402
-0.5299999999999996,0.09241835285294692,0.06679238875967697,0.058843526141448436,0.07371239112764418,0.10032156903437249,0.07621822873001288,0.06720523756409139,-0.008151985990177003,0.09570246459164998,0.08126282022940005
-0.5199999999999996,0.09921904814256403,0.07155787411069744,0.0627038344882076,0.07873675715645109,0.10763997419690534,0.08167428228942793,0.07166386806988284,-0.005220015230682741,0.10252224711286495,0.08689025520244985
-0.5099999999999996,0.10633504788410879,0.07651001978948328,0.06665954622772706,0.08391533792843901,0.11528072909507793,0.08734766836094882,0.07624266239095592,-0.0021351619614793766,0.10960835503668079,0.09270589983594464
-0.4999999999999995,0.11377344816591607,0.08164636365992653,0.07070083033382576,0.08923872699662452,0.12324722641054775,0.09323620966808535,0.08093189265102586,0.0011001541526662122,0.11695738832418605,0.09870142288046356
-0.4899999999999995,0.12154152622093573,0.08696355135102717,0.07481679442786754,0.09469608356396529,0.13154233776574725,0.0993367635263967,0.08572072585796442,0.004483937411290592,0.12456476697142517,0.10486698551059269
-0.4799999999999995,0.12964606521514607,0.09245677172145397,0.07899504786807844,0.10027452846051985,0.14016760224214894,0.10564457595944422,0.0905967193038664,0.008014024268094158,0.13242394962468781,0.11119055823760386
-0.4699999999999995,0.1380930722182108,0.09811949391128835,0.08322157823920688,0.10595890297911215,0.14912284624064703,0.11215297709864999,0.09554566888903085,0.011688061747901182,0.14052609046270245,0.11765762563688449
-0.4599999999999995,0.14688783363890065,0.10394347155998987,0.08748091275647348,0.1117318548416491,0.1584061781013504,0.11885337816655152,0.10055177721429744,0.015503999650776196,0.14886008577067542,0.12425123897885809
-0.4499999999999995,0.15603402051373463,0.10991807779951443,0.09175568083330224,0.11757318696490478,0.168012960497524,0.12573450303849068,0.10559713450204039,0.019459482043989368,0.15741166783648144,0.13095125753893358
-0.4399999999999995,0.165533932647334,0.11603051266055651,0.0960270449550993,0.12346023205042052,0.17793604231180835,0.1327826094841977,0.11066218179889137,0.023552801289762355,0.1661637585028217,0.1377346957928384
-0.4299999999999995,0.17538736821638856,0.122265051129661,0.10027426729697474,0.1293671679426791,0.18816452110841445,0.13998061321950045,0.11572518301555608,0.027782251750558568,0.17509545569142518,0.1445749064983539
-0.4199999999999995,0.18559086213713274,0.12860262398653188,0.10447464292055526,0.13526475280700453,0.19868294492464192,0.147307585564697,0.12076210609437855,0.03214611234121298,0.1841815073465377,0.15144120780773845
-0.4099999999999995,0.196136804724232,0.1350203891302941,0.10860348002626169,0.1411200948505425,0.20947043371301768,0.1547382340298587,0.12574654848142602,0.036642662485059214,0.19339178268112456,0.15829853396149587
-0.3999999999999994,0.20701261613596575,0.14149144053567164,0.11263427184758742,0.14689662980959114,0.22049992621676354,0.16224253249378368,0.1306498704368623,0.04127047781003802,0.20269095260112008,0.1651072968852868
-0.3899999999999994,0.2181994423393984,0.1479842840671571,0.11653871310830788,0.15255388858240468,0.2317369876789905,0.1697850777596591,0.13544113996180374,0.04602835337528346,0.21203784810282006,0.17182300322276356
-0.3799999999999994,0.22967046341380068,0.154462170455227,0.12028665064235586,0.15804716318664247,0.24313829729660874,0.1773242743610843,0.1400869903123004,0.05091499285185106,0.22138462660343022,0.1783957436654753
-0.3699999999999994,0.24138933904027307,0.1608826966109815,0.12384636106769496,0.16332754479707268,0.25465040987897314,0.1848118149415133,0.14455183645407707,0.05592914914881011,0.2306763361006026,0.18477006952793262
-0.3599999999999994,0.2533081276359355,0.16719721720442346,0.12718472226883526,0.16834181511319307,0.26620809481350727,0.1921919336194168,0.14879795641850665,0.06106939228983818,0.2398502196530943,0.1908846919783744
-0.3499999999999994,0.26536488734247926,0.17335024951400999,0.13026745133932263,0.17303240233509964,0.277732507480314,0.1994006399951247,0.15278563356598715,0.06633377629560004,0.24883502162001614,0.19667223427641123
-0.3399999999999994,0.27748116497768915,0.17927905386805054,0.13305957796844917,0.1773376102921771,0.2891294481630785,0.20636514088857177,0.1564735519333647,0.07171966199161456,0.2575505552163917,0.202059265176231
-0.3299999999999994,0.28955913517614784,0.1849132459091408,0.13552600893715866,0.18119195452213283,0.3002874814322114,0.21300328585255876,0.15981928060966719,0.07722337275775186,0.2659073220038256,0.20696643490986497
-0.3199999999999994,0.3014780376179598,0.19017421041880717,0.13763195214435087,0.18452633669669802,0.31107556440195266,0.21922277448328653,0.16277958439994777,0.08283919019848245,0.2738058483479236,0.21130842505747385
-0.3099999999999994,0.3130910010816135,0.1949751374636282,0.13934395892140974,0.18726898286734112,0.3213413991735277,0.22492106121777386,0.1653114263645307,0.0885589862402447,0.2811369096133938,0.21499472457208976
-0.2999999999999994,0.3242213609369472,0.19922103810004685,0.14063094677094165,0.1893463949498056,0.33090956071661154,0.22998522745155756,0.1673729388592704,0.094371230568239,0.2877817110771647,0.21793042255737843
-0.2899999999999993,0.3346582594128037,0.2028085819169433,0.14146501441721268,0.19068410998822805,0.3395791849275876,0.2342916444407401,0.16892415309625178,0.10025891303885204,0.293611787350171,0.2200168040958741
-0.2799999999999993,0.34415284825257925,0.20562669756549146,0.141822890803947,0.19120830503887873,0.3471226517040792,0.237706503530635,0.16992845128109216,0.10619777421499882,0.2984899547995398,0.22115289134697652
-0.2699999999999993,0.352414427452539,0.20755738737861404,0.1416874311300672,0.19084757294329613,0.35328450990254434,0.24008659530589238,0.17035408104455077,0.11215361255105634,0.30227150975984096,0.22123721229249455
-0.2599999999999993,0.359107106362029,0.20847707905213803,0.14104938228459174,0.18953517357724967,0.3577812182711134,0.2412807147611311,0.17017599567810815,0.1180788817226809,0.3048061110312351,0.22017014933719628
-0.2499999999999993,0.3638468016939157,0.20825820813827686,0.1399090227825699,0.18721132924446857,0.36030138389814886,0.2411313561027471,0.16937758381103368,0.12390763565587341,0.3059398769685066,0.21785642398443256
-0.2399999999999993,0.36619950687186775,0.20677146307202007,0.13827795959730804,0.18382595399754117,0.36050732803257524,0.23947720497465086,0.1679526265544828,0.1295490747513164,0.30551828000093684,0.21420817251249985
-0.2299999999999993,0.3656818177110554,0.2038890547569238,0.13618127382401743,0.17934210411732984,0.358038769585647,0.23615686083574533,0.1659077208379534,0.1348797406841003,0.30339031525362675,0.20914896149096232
-0.2199999999999993,0.3617631448274028,0.19948810002182615,0.13365897520699185,0.17373896068445782,0.35251760200238696,0.23101277753696725,0.1632640091442519,0.13973211944911523,0.299412588511607,0.2026174910086591
-0.2099999999999993,0.3538723361470294,0.19345546485625956,0.13076784342476208,0.16701570558708106,0.34355617496742474,0.22389698516945797,0.16005947113546523,0.14388122027772465,0.29345520138318,0.1945725134102369
-0.1999999999999993,0.3414089485568266,0.18569341169846684,0.12758281799115737,0.15919534807849325,0.3307686095019042,0.21467788146354008,0.15635085525621892,0.1470271662919714,0.28540843854960984,0.18499799138941164
-0.1899999999999992,0.3237597556579937,0.17612546161066367,0.12419715481627638,0.15032762171790273,0.313784858646873,0.20324746071731847,0.15221439578484228,0.14877190432257112,0.27518936046751996,0.17390758822902253
-0.1799999999999992,0.3003238818818593,0.16470376524814764,0.12072236414362753,0.14049222026383784,0.2922700865194858,0.18953049466262017,0.14774650853956267,0.14859141528262343,0.2627501164727609,0.1613499175276224
-0.1699999999999992,0.27054651271456714,0.15141663938256206,0.11728648022899477,0.12980065529263304,0.2659480414109853,0.1734941744336318,0.14306285303949678,0.14580040000947653,0.2480860315798075,0.14741272102784667
-0.1599999999999992,0.23396211728981672,0.1362956627282062,0.11402998814615403,0.1183959151323622,0.23462813036237506,0.15515755438627885,0.13829502836534113,0.13950806270808205,0.2312426139466005,0.13222510027124235
-0.1499999999999992,0.1927357713974518,0.12039530281720391,0.1111830538191467,0.10676230290687762,0.19948882171510388,0.1356407086684865,0.13354813142843217,0.12825623307966555,0.21228425442357107,0.11647328866324118
-0.1399999999999992,0.1540723169738402,0.10670128169190297,0.10928560962109544,0.09619946885800511,0.16472232907517878,0.1181851901220713,0.1291212223934334,0.11150964162923649,0.19194935836275742,0.10204885114586613
-0.1299999999999992,0.1229118585926993,0.09724790649514065,0.10896392791563399,0.08793166984509042,0.13394658917701183,0.10508711761002784,0.12567044652760145,0.09131547399048812,0.17191445830517457,0.09055518028307723
-0.1199999999999992,0.0993627103188338,0.09211643015923603,0.1106291200401044,0.08252123918548349,0.10832511256171112,0.09656524648319678,0.12388535652452617,0.07062105834857435,0.15390433015779098,0.08253790583055803
-0.1099999999999992,0.08333106958385764,0.09124839419939856,0.11453941785843315,0.08033641502042549,0.088655327002015,0.0926718153365923,0.12426292047364361,0.05176961717972811,0.13923330336786377,0.07834159452557724
-0.0999999999999992,0.0744755256580586,0.09441226608854641,0.12076852670179501,0.08151327962899425,0.0753279461080991,0.0932540113341379,0.12707149202480714,0.03646180733371827,0.12876828387765404,0.07806747956102274
-0.0899999999999991,0.0721685446136482,0.10117519305878131,0.12917883164012586,0.08592353565409229,0.06829393567199538,0.0979212625299482,0.13232030601763847,0.025726094465808324,0.12289911644308356,0.08153754130018168
-0.0799999999999991,0.07553311351621754,0.11092987625740613,0.13944688972098143,0.09320516462555761,0.06711333206896668,0.10607530566497922,0.13978850112028413,0.019984301798272208,0.12158801548396074,0.08832701126136008
-0.0699999999999991,0.08345348631011006,0.12290245157574425,0.15107090555204664,0.10277141755217811,0.07097585614327939,0.1169186228411357,0.14903363069940412,0.019084363788386866,0.12439175056353134,0.09777329886750762
-0.0599999999999991,0.094593491705421,0.13616591630673577,0.1633834675359885,0.113826132295452,0.0787297624817338,0.12946919422945882,0.15940616288606654,0.022342655579095098,0.13049178719671783,0.10899180247193332
-0.0499999999999991,0.1074827474806864,0.1497033570817377,0.17561152451368237,0.1254358651431473,0.08898464207837915,0.14263196846458215,0.17011776333662243,0.028672312523543728,0.1387958661323938,0.12095354085657761
-0.0399999999999991,0.12066108441820583,0.1625138676494793,0.18697685706157188,0.13665072372668957,0.10027761812179554,0.15531895165125792,0.18035568072017819,0.0367852607214551,0.14810081996187116,0.1326157774697796
-0.0299999999999991,0.13265414007216986,0.17359464980783063,0.19667909882553278,0.14648394744048088,0.11105567751459487,0.16642828382651145,0.18926341669048155,0.045180457468035694,0.15707777809241738,0.14289894547948753
-0.0199999999999991,0.14215518598151733,0.18207436203812974,0.20402222812997026,0.15406403397508794,0.11988260065007664,0.17499556842171277,0.1960847352174223,0.05239328565966302,0.16447433211305598,0.15085132311310298
-0.0099999999999991,0.14824310251006317,0.18737297812475937,0.20856620638131848,0.15881710892094333,0.1256852577140162,0.18037539341952763,0.20033630127250357,0.05729072203563551,0.1693547289565033,0.15584661698366095
8.881784197001252e-16,0.15033751357605252,0.18916888381549424,0.21009576667695057,0.1604293890435273,0.12771365931557094,0.18220331974980686,0.20177214699700827,0.059033670292398956,0.17106355268550144,0.15754226169476998
0.0100000000000008,0.14825948392844168,0.18744339105439467,0.20866263903661658,0.15889796492513786,0.1256159698685135,0.1804460390189043,0.20043174467217637,0.0571729683300234,0.16930045951582837,0.15593382121232344
0.0200000000000009,0.1422358010714051,0.18248387826414522,0.20458852920584905,0.15453438345576428,0.11945208190906874,0.175404411269694,0.19664339805472644,0.0516739565894471,0.16413556312099317,0.15135803096962766
