date,log_rv_ann,rv_d,rv_w,rv_m,rv_fwd_ttm,har_rv_pred
2024-04-23,0.210505917320398,0.10040272265168099,0.13088286364102314,0.5178427792958452,0.2718368503006513,0.7435906794233262
2024-04-24,0.1337339013413159,0.013060318057660001,0.07941492051914896,0.4942568288273432,0.271093438896667,0.7294706061997047
2024-04-25,0.1463029404413539,0.23207388505272322,0.12582507954296207,0.42620738308553785,0.3017561001311195,0.7289612548391355
2024-04-27,0.1042123169373604,0.025339332322617775,0.07677985137655496,0.42492831169438766,0.30011695568675506,0.71542479067788
2024-04-28,0.139093953754684,0.584334765022943,0.17356625985080737,0.45127988523578183,0.25705192124255716,0.7524034092027746
2024-04-29,0.1390916290608616,2.1676892563715074e-06,0.17095462977712664,0.44858887126443553,0.26777595038724245,0.73066132034523
2024-05-01,0.2748541598318609,1.432314709000278,0.4230255027853113,0.42930716179877426,0.1251192868794309,0.8081616328719985
2024-05-02,0.2718368503006515,0.07324693687079667,0.43260702369494713,0.3856113889298498,0.19170516148945393,0.7518217701627491
2024-05-03,0.2710934388966672,0.00636961542180149,0.3170139937747188,0.3841566493284686,0.19101129680192205,0.7352569582346192
2024-05-04,0.3017561001311197,0.5080378361627956,0.4186211274694266,0.40595018187983983,0.1369336960672351,0.7698345114844818
2024-05-05,0.3010044760187784,0.006258381787036617,0.4052454958485384,0.3054472640825942,0.13759333622308675,0.7297606471681198
2024-05-06,0.3001169556867553,0.017351649334410094,0.12225288391536489,0.2217773814225217,0.15677773910722598,0.6790822650853043
2024-05-07,0.2570519212425574,0.19674945502516197,0.14695338754623796,0.1987201538386927,0.24478041342961027,0.683745732427016
2024-05-08,0.2677759503872427,0.09651842999142396,0.16498315046016246,0.19770042187683104,0.2726117289604264,0.6821206443453215
2024-05-09,0.2666780604527659,0.0632555304811866,0.07602668932384064,0.20004529588147826,0.36893506025458567,0.670731350044348
2024-05-13,0.1369336960672353,0.021339429550613048,0.18310506969341345,0.19521294538714376,1.5742385397290486,0.6811017932818381
2024-05-14,0.137593336223087,0.012195143189701519,0.17289299223511642,0.19572455612440678,1.5801971228473317,0.6796535677205879
2024-05-15,0.1567777391072262,0.19001127529166312,0.17923809792539602,0.19979767215349692,1.5608120886828682,0.6876012370495556
2024-05-16,0.2447804134296105,0.9887735239266205,0.24248884103851936,0.24414827242026782,1.4554177463858675,0.7327989743280084
2024-05-17,0.2726117289604267,0.3470002697687693,0.31186392834547033,0.2493721989982699,1.418398614157528,0.7192646433719136
2024-05-18,0.3689350602545859,0.9301655121286198,0.4936291448610716,0.2910604950587477,1.3310342889482223,0.7704435679766894
2024-05-19,0.3538782715343904,0.022774648358505414,0.4957450458948324,0.2909439185149244,1.3411372408073936,0.7382520913977892
2024-05-20,0.2894069484874709,0.09227790093872883,0.47619837102424556,0.2685776974201874,1.3384173683454519,0.7338179114534533
2024-05-21,1.522444800816109,11.097465504191756,2.497936767077273,0.7730078490793919,0.12130284553442101,1.4728547792983044
2024-05-22,1.574238539729049,0.4874830797670734,2.5260333290769337,0.791841782710101,0.06793587651952276,1.1009751791351339
2024-05-23,1.580197122847332,0.06582239125424905,2.3531647049020594,0.7297284955398268,0.06106671818626662,1.0524609194059522
2024-05-24,1.5608120886828685,0.015545967811489945,2.3517189687926563,0.7271057242189493,0.06709824549266431,1.049954938228403
2024-05-25,1.455417746385868,0.04022444325361584,2.3413082772556337,0.7286445800294863,0.06564412598715888,1.0499013082957158
